Zeit,2485890083,2485889417,2485890828,2138497445,2485891313
07:27:48,,no connection,,,
07:27:49,,no connection,,,
07:27:51,,,no connection,,
07:27:51,,,no connection,,
07:27:53,,,,no connection,
07:27:54,,,,no connection,
07:27:56,,,,,no connection
07:28:01,,,,,no connection
07:28:03,no connection,,,,
07:28:04,no connection,,,,
07:28:06,,no connection,,,
07:28:06,,no connection,,,
07:28:08,,,no connection,,
07:28:09,,,no connection,,
07:28:11,,,,no connection,
07:28:12,,,,no connection,
07:28:14,,,,,no connection
07:28:19,,,,,no connection
07:28:21,no connection,,,,
07:28:22,no connection,,,,
07:28:24,,no connection,,,
07:28:24,,no connection,,,
07:28:26,,,no connection,,
07:28:27,,,no connection,,
07:28:29,,,,no connection,
07:28:29,,,,no connection,
07:28:31,,,,,no connection
07:28:37,,,,,no connection
07:28:39,no connection,,,,
07:28:39,no connection,,,,
07:28:41,,no connection,,,
07:28:42,,no connection,,,
07:28:44,,,no connection,,
07:28:45,,,no connection,,
07:28:47,,,,no connection,
07:28:47,,,,no connection,
07:28:49,,,,,no connection
07:28:55,,,,,no connection
07:28:57,no connection,,,,
07:28:57,no connection,,,,
07:28:59,,no connection,,,
07:29:00,,no connection,,,
07:29:02,,,no connection,,
07:29:02,,,no connection,,
07:29:04,,,,no connection,
07:29:05,,,,no connection,
07:29:07,,,,,no connection
07:29:12,,,,,no connection
07:29:14,no connection,,,,
07:29:15,no connection,,,,
07:29:17,,no connection,,,
07:29:18,,no connection,,,
07:29:20,,,no connection,,
07:29:20,,,no connection,,
07:29:22,,,,no connection,
07:29:23,,,,no connection,
07:29:25,,,,,no connection
07:29:30,,,,,no connection
07:29:32,no connection,,,,
07:29:33,no connection,,,,
07:29:35,,no connection,,,
07:29:35,,no connection,,,
07:29:37,,,no connection,,
07:29:38,,,no connection,,
07:29:40,,,,no connection,
07:29:40,,,,no connection,
07:29:42,,,,,no connection
07:29:48,,,,,no connection
07:29:50,no connection,,,,
07:29:51,no connection,,,,
07:29:53,,no connection,,,
07:29:53,,no connection,,,
07:29:55,,,no connection,,
07:29:56,,,no connection,,
07:29:58,,,,no connection,
07:29:58,,,,no connection,
07:30:00,,,,,no connection
07:30:06,,,,,no connection
07:30:08,no connection,,,,
07:30:08,no connection,,,,
07:30:10,,no connection,,,
07:30:11,,no connection,,,
07:30:13,,,no connection,,
07:30:13,,,no connection,,
07:30:16,,,,no connection,
07:30:16,,,,no connection,
07:30:18,,,,,no connection
07:30:24,,,,,no connection
07:30:26,no connection,,,,
07:30:26,no connection,,,,
07:30:28,,no connection,,,
07:30:29,,no connection,,,
07:30:31,,,no connection,,
07:30:31,,,no connection,,
07:30:33,,,,no connection,
07:30:34,,,,no connection,
07:30:36,,,,,no connection
07:30:41,,,,,no connection
07:30:43,no connection,,,,
07:30:44,no connection,,,,
07:30:46,,no connection,,,
07:30:47,,no connection,,,
07:30:49,,,no connection,,
07:30:49,,,no connection,,
07:30:51,,,,no connection,
07:30:52,,,,no connection,
07:30:54,,,,,no connection
07:30:59,,,,,no connection
07:31:01,no connection,,,,
07:31:02,no connection,,,,
07:31:04,,no connection,,,
07:31:04,,no connection,,,
07:31:06,,,no connection,,
07:31:07,,,no connection,,
07:31:09,,,,no connection,
07:31:09,,,,no connection,
07:31:11,,,,,no connection
07:31:17,,,,,no connection
07:31:19,no connection,,,,
07:31:20,no connection,,,,
07:31:22,,no connection,,,
07:31:22,,no connection,,,
07:31:24,,,no connection,,
07:31:25,,,no connection,,
07:31:27,,,,no connection,
07:31:27,,,,no connection,
07:31:29,,,,,no connection
07:31:35,,,,,no connection
07:31:37,no connection,,,,
07:31:37,no connection,,,,
07:31:39,,no connection,,,
07:31:40,,no connection,,,
07:31:42,,,no connection,,
07:31:42,,,no connection,,
07:31:44,,,,no connection,
07:31:45,,,,no connection,
07:31:47,,,,,no connection
07:31:53,,,,,no connection
07:31:55,no connection,,,,
07:31:55,no connection,,,,
07:31:57,,no connection,,,
07:31:58,,no connection,,,
07:32:00,,,no connection,,
07:32:00,,,no connection,,
07:32:02,,,,no connection,
07:32:03,,,,no connection,
07:32:05,,,,,no connection
07:32:10,,,,,no connection
07:32:12,no connection,,,,
07:32:13,no connection,,,,
07:32:15,,no connection,,,
07:32:15,,no connection,,,
07:32:17,,,no connection,,
07:32:18,,,no connection,,
07:32:20,,,,no connection,
07:32:21,,,,no connection,
07:32:23,,,,,no connection
07:32:28,,,,,no connection
07:32:30,no connection,,,,
07:32:31,no connection,,,,
07:32:33,,no connection,,,
07:32:33,,no connection,,,
07:32:35,,,no connection,,
07:32:36,,,no connection,,
07:32:38,,,,no connection,
07:32:38,,,,no connection,
07:32:40,,,,,no connection
07:32:46,,,,,no connection
07:32:48,no connection,,,,
07:32:48,no connection,,,,
07:32:50,,no connection,,,
07:32:51,,no connection,,,
07:32:53,,,no connection,,
07:32:54,,,no connection,,
07:32:56,,,,no connection,
07:32:56,,,,no connection,
07:32:58,,,,,no connection
07:33:04,,,,,no connection
07:33:06,no connection,,,,
07:33:06,no connection,,,,
07:33:08,,no connection,,,
07:33:09,,no connection,,,
07:33:11,,,no connection,,
07:33:11,,,no connection,,
07:33:13,,,,no connection,
07:33:14,,,,no connection,
07:33:16,,,,,no connection
07:33:21,,,,,no connection
07:33:24,no connection,,,,
07:33:24,no connection,,,,
07:33:26,,no connection,,,
07:33:27,,no connection,,,
07:33:29,,,no connection,,
07:33:29,,,no connection,,
07:33:31,,,,no connection,
07:33:32,,,,no connection,
07:33:34,,,,,no connection
07:33:39,,,,,no connection
07:33:41,no connection,,,,
07:33:42,no connection,,,,
07:33:44,,no connection,,,
07:33:44,,no connection,,,
07:33:46,,,no connection,,
07:33:47,,,no connection,,
07:33:49,,,,no connection,
07:33:49,,,,no connection,
07:33:52,,,,,no connection
07:33:57,,,,,no connection
07:33:59,no connection,,,,
07:34:00,no connection,,,,
07:34:02,,no connection,,,
07:34:02,,no connection,,,
07:34:04,,,no connection,,
07:34:05,,,no connection,,
07:34:07,,,,no connection,
07:34:07,,,,no connection,
07:34:09,,,,,no connection
07:34:15,,,,,no connection
07:34:17,no connection,,,,
07:34:17,no connection,,,,
07:34:19,,no connection,,,
07:34:20,,no connection,,,
07:34:22,,,no connection,,
07:34:23,,,no connection,,
07:34:25,,,,no connection,
07:34:25,,,,no connection,
07:34:27,,,,,no connection
07:34:33,,,,,no connection
07:34:35,no connection,,,,
07:34:35,no connection,,,,
07:34:37,,no connection,,,
07:34:38,,no connection,,,
07:34:40,,,no connection,,
07:34:40,,,no connection,,
07:34:42,,,,no connection,
07:34:43,,,,no connection,
07:34:45,,,,,no connection
07:34:50,,,,,no connection
07:34:52,no connection,,,,
07:34:53,no connection,,,,
07:34:55,,no connection,,,
07:34:56,,no connection,,,
07:34:58,,,no connection,,
07:34:58,,,no connection,,
07:35:00,,,,no connection,
07:35:01,,,,no connection,
07:35:03,,,,,no connection
07:35:08,,,,,no connection
07:35:10,no connection,,,,
07:35:11,no connection,,,,
07:35:13,,no connection,,,
07:35:13,,no connection,,,
07:35:15,,,no connection,,
07:35:16,,,no connection,,
07:35:18,,,,no connection,
07:35:18,,,,no connection,
07:35:20,,,,,no connection
07:35:26,,,,,no connection
07:35:28,no connection,,,,
07:35:29,no connection,,,,
07:35:31,,no connection,,,
07:35:31,,no connection,,,
07:35:33,,,no connection,,
07:35:34,,,no connection,,
07:35:36,,,,no connection,
07:35:36,,,,no connection,
07:35:38,,,,,no connection
07:35:44,,,,,no connection
07:35:46,no connection,,,,
07:35:46,no connection,,,,
07:35:48,,no connection,,,
07:35:49,,no connection,,,
07:35:51,,,no connection,,
07:35:51,,,no connection,,
07:35:53,,,,no connection,
07:35:54,,,,no connection,
07:35:56,,,,,no connection
07:36:02,,,,,no connection
07:36:04,no connection,,,,
07:36:04,no connection,,,,
07:36:06,,no connection,,,
07:36:07,,no connection,,,
07:36:09,,,no connection,,
07:36:09,,,no connection,,
07:36:11,,,,no connection,
07:36:12,,,,no connection,
07:36:14,,,,,no connection
07:36:19,,,,,no connection
07:36:21,no connection,,,,
07:36:22,no connection,,,,
07:36:24,,no connection,,,
07:36:24,,no connection,,,
07:36:26,,,no connection,,
07:36:27,,,no connection,,
07:36:29,,,,no connection,
07:36:30,,,,no connection,
07:36:32,,,,,no connection
07:36:37,,,,,no connection
07:36:39,no connection,,,,
07:36:40,no connection,,,,
07:36:42,,no connection,,,
07:36:42,,no connection,,,
07:36:44,,,no connection,,
07:36:45,,,no connection,,
07:36:47,,,,no connection,
07:36:47,,,,no connection,
07:36:49,,,,,no connection
07:36:55,,,,,no connection
07:36:57,no connection,,,,
07:36:57,no connection,,,,
07:37:00,,no connection,,,
07:37:00,,no connection,,,
07:37:02,,,no connection,,
07:37:03,,,no connection,,
07:37:05,,,,no connection,
07:37:05,,,,no connection,
07:37:07,,,,,no connection
07:37:13,,,,,no connection
07:37:15,no connection,,,,
07:37:15,no connection,,,,
07:37:17,,no connection,,,
07:37:18,,no connection,,,
07:37:20,,,no connection,,
07:37:20,,,no connection,,
07:37:22,,,,no connection,
07:37:23,,,,no connection,
07:37:25,,,,,no connection
07:37:31,,,,,no connection
07:37:33,no connection,,,,
07:37:33,no connection,,,,
07:37:35,,no connection,,,
07:37:36,,no connection,,,
07:37:38,,,no connection,,
07:37:38,,,no connection,,
07:37:40,,,,no connection,
07:37:41,,,,no connection,
07:37:43,,,,,no connection
07:37:48,,,,,no connection
07:37:50,no connection,,,,
07:37:51,no connection,,,,
07:37:53,,no connection,,,
07:37:53,,no connection,,,
07:37:55,,,no connection,,
07:37:56,,,no connection,,
07:37:58,,,,no connection,
07:37:59,,,,no connection,
07:38:01,,,,,no connection
07:38:06,,,,,no connection
07:38:08,no connection,,,,
07:38:09,no connection,,,,
07:38:11,,no connection,,,
07:38:11,,no connection,,,
07:38:13,,,no connection,,
07:38:14,,,no connection,,
07:38:16,,,,no connection,
07:38:16,,,,no connection,
07:38:18,,,,,no connection
07:38:24,,,,,no connection
07:38:26,no connection,,,,
07:38:26,no connection,,,,
07:38:28,,no connection,,,
07:38:29,,no connection,,,
07:38:31,,,no connection,,
07:38:32,,,no connection,,
07:38:34,,,,no connection,
07:38:34,,,,no connection,
07:38:36,,,,,no connection
07:38:42,,,,,no connection
07:38:44,no connection,,,,
07:38:44,no connection,,,,
07:38:46,,no connection,,,
07:38:47,,no connection,,,
07:38:49,,,no connection,,
07:38:49,,,no connection,,
07:38:51,,,,no connection,
07:38:52,,,,no connection,
07:38:54,,,,,no connection
07:38:59,,,,,no connection
07:39:01,no connection,,,,
07:39:02,no connection,,,,
07:39:04,,no connection,,,
07:39:05,,no connection,,,
07:39:07,,,no connection,,
07:39:07,,,no connection,,
07:39:09,,,,no connection,
07:39:10,,,,no connection,
07:39:12,,,,,no connection
07:39:17,,,,,no connection
07:39:19,no connection,,,,
